"編號";"指定符";"封裝";"數量";"名稱";"供應商編號";
1;"U1";"SOT223_AMS1117-5.0_ADS";1;"AMS1117-5.0";;;
2;"U2";"K-LC7";1;"K-LC7";;;
3;"U5";"ESP-WROOM-32";1;"ESP-WROOM-32";;;
4;"TP1";"TestPoint_Pad_D1.0mm";1;"TestPoint";;;
5;"U4,U3";"D14";2;"OPA4340UA";;;
6;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
7;"C2,C1";"C_0402_1005Metric";2;"10µ";;;
8;"R12,R7,R17,R8,R10,R18,R14,R13";"R_0402_1005Metric";8;"1M";;;
9;"R19,R20,R22,R21";"R_0402_1005Metric";4;"100";;;
10;"R16,R15,R9,R5,R3,R11,R4,R6";"R_0402_1005Metric";8;"43k";;;
11;"C9,C13,C19,C18,C15,C11,C14,C8";"C_0402_1005Metric";8;"100p";;;
12;"C17,C5,C12,C6,C10,C7,C16,C4,C3";"C_0402_1005Metric";9;"4µ7";;;
13;"R1,R2";"R_0402_1005Metric";2;"470k";;;
